timestamp,src_ip,src_port,dst_ip,dst_port,protocol,window_size,label,confidence
2026-07-12 08:32:27,192.168.1.24,37742,34.54.84.110,443,TCP,3,BENIGN,0.8472
2026-07-12 08:32:27,123.23.23.23,53,192.168.1.24,49049,UDP,3,BENIGN,0.8669
2026-07-12 08:32:27,192.168.1.24,43394,34.54.84.110,443,TCP,3,BENIGN,0.8381
2026-07-12 08:32:28,192.168.1.24,43394,34.54.84.110,443,TCP,1,BENIGN,0.8648
2026-07-12 08:32:28,192.168.1.24,37742,34.54.84.110,443,TCP,5,BENIGN,0.8472
2026-07-12 08:32:28,123.23.23.23,53,192.168.1.24,49049,UDP,5,BENIGN,0.8669
2026-07-12 08:32:28,192.168.1.24,43394,34.54.84.110,443,TCP,5,BENIGN,0.8912
2026-07-12 08:32:28,192.168.1.24,37742,34.54.84.110,443,TCP,3,BENIGN,0.8472
2026-07-12 08:32:28,123.23.23.23,53,192.168.1.24,49049,UDP,3,BENIGN,0.8669
2026-07-12 08:32:28,192.168.1.24,43394,34.54.84.110,443,TCP,3,BENIGN,0.9123
2026-07-12 08:32:29,192.168.1.24,43394,34.54.84.110,443,TCP,1,BENIGN,0.8920
2026-07-12 08:32:29,192.168.1.24,37742,34.54.84.110,443,TCP,5,BENIGN,0.8472
2026-07-12 08:32:29,123.23.23.23,53,192.168.1.24,49049,UDP,5,BENIGN,0.8669
2026-07-12 08:32:29,192.168.1.24,43394,34.54.84.110,443,TCP,5,BENIGN,0.9049
2026-07-12 08:32:29,192.168.1.24,37742,34.54.84.110,443,TCP,3,BENIGN,0.8472
2026-07-12 08:32:29,123.23.23.23,53,192.168.1.24,49049,UDP,3,BENIGN,0.8669
2026-07-12 08:32:29,192.168.1.24,43394,34.54.84.110,443,TCP,3,BENIGN,0.9152
2026-07-12 08:32:30,192.168.1.24,43394,34.54.84.110,443,TCP,3,BENIGN,0.9151
2026-07-12 08:32:30,192.168.1.24,37742,34.54.84.110,443,TCP,5,BENIGN,0.8472
2026-07-12 08:32:30,123.23.23.23,53,192.168.1.24,49049,UDP,5,BENIGN,0.8669
2026-07-12 08:32:30,192.168.1.24,43394,34.54.84.110,443,TCP,5,BENIGN,0.9151
2026-07-12 08:32:30,123.23.23.23,53,192.168.1.24,42778,UDP,5,BENIGN,0.8748
2026-07-12 08:32:30,192.168.1.24,43404,34.54.84.110,443,TCP,5,BENIGN,0.8353
2026-07-12 08:32:31,192.168.1.24,43404,34.54.84.110,443,TCP,1,BENIGN,0.8642
2026-07-12 08:32:31,192.168.1.24,43394,34.54.84.110,443,TCP,3,BENIGN,0.8914
2026-07-12 08:32:31,123.23.23.23,53,192.168.1.24,42778,UDP,3,BENIGN,0.8748
2026-07-12 08:32:31,192.168.1.24,43404,34.54.84.110,443,TCP,3,BENIGN,0.8902
2026-07-12 08:32:31,192.168.1.24,37742,34.54.84.110,443,TCP,5,BENIGN,0.8472
2026-07-12 08:32:31,123.23.23.23,53,192.168.1.24,49049,UDP,5,BENIGN,0.8669
2026-07-12 08:32:31,192.168.1.24,43394,34.54.84.110,443,TCP,5,BENIGN,0.8914
2026-07-12 08:32:31,123.23.23.23,53,192.168.1.24,42778,UDP,5,BENIGN,0.8748
2026-07-12 08:32:31,192.168.1.24,43404,34.54.84.110,443,TCP,5,BENIGN,0.9255
